GLOBALTIME -> ID  -- Machines Assigned
       720 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       720 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       720 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       720 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       720 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       720 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       720 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       720 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       720 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       720 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       720 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       720 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       720 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       720 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       720 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       720 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       780 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       780 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       780 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       780 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       780 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       780 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       780 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       780 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       780 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       780 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       780 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       780 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       780 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       780 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       780 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       780 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       780 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       780 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       780 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       780 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       780 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       780 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       780 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       780 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       840 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       840 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       840 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       840 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       840 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       840 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       840 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       840 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       840 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       840 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       840 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       840 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       840 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       840 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       840 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       840 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       840 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       840 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       840 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
