GLOBALTIME -> ID  -- Machines Assigned
       660 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       660 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       660 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       660 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       660 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       660 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       720 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       720 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       720 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       720 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       720 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       720 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       720 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       720 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       720 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       720 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       720 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       720 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       720 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       720 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       720 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       720 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       720 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       720 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       720 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       720 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       720 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       720 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       720 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       720 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       780 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       780 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       780 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       780 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       780 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       780 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       780 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       780 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       780 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       780 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       780 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       780 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       780 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       780 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       780 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       780 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       780 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       780 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       780 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       780 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       780 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       780 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       780 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       780 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       840 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       840 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       840 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       840 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       840 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       840 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       840 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       840 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       840 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       840 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       840 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       840 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       840 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       840 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       840 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       840 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       840 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       840 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       840 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       840 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       840 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       840 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       840 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       840 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       900 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       900 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       900 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       900 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       900 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       900 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       900 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       900 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       900 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       900 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       900 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       900 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       900 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       900 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       900 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       900 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       900 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       900 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       900 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       900 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       900 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       900 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       900 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       900 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       960 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       960 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       960 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       960 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       960 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       960 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       960 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       960 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       960 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       960 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       960 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       960 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       960 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       960 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       960 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       960 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       960 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       960 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       960 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       960 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       960 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       960 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
