GLOBALTIME -> ID  -- Machines Assigned
       420 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       420 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       420 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       420 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       420 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       420 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       420 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       420 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       420 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       420 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       420 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       420 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       420 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       420 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       420 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       420 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       420 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       480 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       480 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       480 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       480 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       480 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       480 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       480 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       480 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       480 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       480 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       480 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       480 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       480 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       480 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       480 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       480 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       480 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       480 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       480 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       480 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       480 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       480 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       480 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       480 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       540 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       540 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       540 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       540 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       540 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       540 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       540 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       540 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       540 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       540 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       540 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       540 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       540 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       540 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       540 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       540 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       540 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       540 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       540 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       540 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       540 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       540 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       540 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       540 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       600 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       600 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       600 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       600 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       600 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       600 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       600 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       600 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       600 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       600 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       600 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       600 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       600 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       600 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       600 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       600 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       600 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       600 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       600 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       600 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       600 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       600 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       600 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
