GLOBALTIME -> ID  -- Machines Assigned
       480 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       480 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       480 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       480 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       480 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       480 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       480 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       480 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       480 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       480 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       480 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       480 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       480 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       480 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       480 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       480 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       480 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       480 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       480 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       480 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       480 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       480 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       480 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       540 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       540 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       540 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       540 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       540 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       540 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       540 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       540 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       540 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       540 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       540 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       540 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       540 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       540 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       540 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       540 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       540 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       540 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       540 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       540 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       540 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       540 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       540 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       540 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       600 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       600 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       600 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       600 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       600 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
