GLOBALTIME -> ID  -- Machines Assigned
       420 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       420 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       420 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       420 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       420 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       420 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       480 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       480 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       480 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       480 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       480 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       480 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       480 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       480 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       480 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       480 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       480 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       480 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       480 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       480 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       480 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       480 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       480 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       480 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       480 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       480 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       480 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       480 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       480 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       480 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       540 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       540 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       540 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       540 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       540 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       540 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       540 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       540 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       540 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       540 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       540 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       540 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       540 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       540 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       540 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       540 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       540 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       540 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       540 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       540 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       540 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       540 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       540 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       540 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       600 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       600 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       600 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       600 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       600 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       600 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       600 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       600 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       600 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       600 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       600 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       600 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       600 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       600 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       600 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       600 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       600 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       600 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       600 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       600 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       600 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       600 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       600 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       600 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       660 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       660 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       660 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       660 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       660 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       660 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       660 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       660 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       660 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       660 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       660 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       660 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       660 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       660 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       660 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       660 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       660 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       660 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       660 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       660 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       660 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       660 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       660 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       660 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       720 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       720 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       720 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       720 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       720 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       720 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       720 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       720 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       720 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       720 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       720 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       720 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       720 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       720 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       720 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       720 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       720 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       720 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       720 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       720 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       720 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       720 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
