GLOBALTIME -> ID  -- Machines Assigned
       300 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       300 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       300 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       300 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       300 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       300 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       300 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       300 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       300 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       300 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       300 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       300 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       300 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       300 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       300 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       300 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       300 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       360 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       360 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       360 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       360 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       360 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       360 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       360 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       360 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       360 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       360 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       360 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       360 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       360 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       360 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       360 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       360 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       360 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       360 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       360 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       360 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       360 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       360 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       360 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       360 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       420 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       420 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       420 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       420 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       420 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       420 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       420 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       420 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       420 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       420 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       420 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       420 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       420 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       420 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       420 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       420 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       420 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       420 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
